,cell1,cell2,score,dataset1,dataset2,name1,name2
1266,374,12,0.666666666666667,2,1,Cell874,Cell12
1267,88,13,0.416666666666667,2,1,Cell588,Cell13
1268,116,13,0.833333333333333,2,1,Cell616,Cell13
1269,145,13,0,2,1,Cell645,Cell13
1270,42,13,0.833333333333333,2,1,Cell542,Cell13
1271,293,14,0.583333333333333,2,1,Cell793,Cell14
1272,247,14,0.833333333333333,2,1,Cell747,Cell14
1273,287,15,0.833333333333333,2,1,Cell787,Cell15
1274,50,15,0.333333333333333,2,1,Cell550,Cell15
1275,226,16,0.75,2,1,Cell726,Cell16
1276,312,16,0.666666666666667,2,1,Cell812,Cell16
1277,372,17,0.833333333333333,2,1,Cell872,Cell17
1278,301,17,1,2,1,Cell801,Cell17
1279,245,17,0.25,2,1,Cell745,Cell17
1280,110,18,0.75,2,1,Cell610,Cell18
1281,322,18,0.75,2,1,Cell822,Cell18
1282,200,18,0.5,2,1,Cell700,Cell18
1283,220,18,0.416666666666667,2,1,Cell720,Cell18
1284,80,19,0.916666666666667,2,1,Cell580,Cell19
1285,86,19,0.583333333333333,2,1,Cell586,Cell19
1286,168,20,0.833333333333333,2,1,Cell668,Cell20
1287,20,20,0.75,2,1,Cell520,Cell20
1288,434,21,1,2,1,Cell934,Cell21
1289,41,21,0.833333333333333,2,1,Cell541,Cell21
1290,27,21,0.416666666666667,2,1,Cell527,Cell21
1291,414,21,0.583333333333333,2,1,Cell914,Cell21
1292,345,22,0.583333333333333,2,1,Cell845,Cell22
1293,144,23,0.666666666666667,2,1,Cell644,Cell23
1294,372,24,1,2,1,Cell872,Cell24
1295,431,24,0.333333333333333,2,1,Cell931,Cell24
1296,277,24,0.666666666666667,2,1,Cell777,Cell24
1297,41,24,1,2,1,Cell541,Cell24
1298,167,24,1,2,1,Cell667,Cell24
1299,310,25,1,2,1,Cell810,Cell25
1300,333,26,0.75,2,1,Cell833,Cell26
1301,356,26,0.5,2,1,Cell856,Cell26
1302,335,26,0.5,2,1,Cell835,Cell26
1303,295,26,0.416666666666667,2,1,Cell795,Cell26
1304,2,27,0.666666666666667,2,1,Cell502,Cell27
1305,179,27,0.333333333333333,2,1,Cell679,Cell27
1306,299,28,0.916666666666667,2,1,Cell799,Cell28
1307,393,29,1,2,1,Cell893,Cell29
1308,86,29,0.833333333333333,2,1,Cell586,Cell29
1309,122,29,0.5,2,1,Cell622,Cell29
1310,153,30,0.916666666666667,2,1,Cell653,Cell30
1311,422,30,0.666666666666667,2,1,Cell922,Cell30
1312,161,31,0,2,1,Cell661,Cell31
1313,233,31,0.416666666666667,2,1,Cell733,Cell31
1314,372,32,0.25,2,1,Cell872,Cell32
1315,206,32,0.583333333333333,2,1,Cell706,Cell32
1316,427,33,0.833333333333333,2,1,Cell927,Cell33
1317,397,33,0.166666666666667,2,1,Cell897,Cell33
1318,54,35,0.666666666666667,2,1,Cell554,Cell35
1319,446,35,0.75,2,1,Cell946,Cell35
1320,359,35,0.333333333333333,2,1,Cell859,Cell35
1321,432,36,1,2,1,Cell932,Cell36
1322,328,36,0.5,2,1,Cell828,Cell36
1323,129,36,0.75,2,1,Cell629,Cell36
1324,366,36,0.583333333333333,2,1,Cell866,Cell36
1325,151,37,0.416666666666667,2,1,Cell651,Cell37
1326,220,37,0.333333333333333,2,1,Cell720,Cell37
1327,305,38,1,2,1,Cell805,Cell38
1328,150,39,0.25,2,1,Cell650,Cell39
